state,season,crop_name,sub_region,pre_emergence_herbicide,pre_em_dose,pre_em_timing_das,post_emergence_herbicide,post_em_dose,post_em_timing_das,manual_weeding_schedule
Andhra Pradesh,rabi,maize,,Atrazine 50 W.P.,1,,"Atrazine or 2,4-D Sodium salt 80 WP or Tembotrione + Atrazine or Halosufuron",,20,Intercultivation and earthing up after 30-35 days
Andhra Pradesh,rabi,greengram,,Pendimethalin,,,Imazethapyr or Quizalofop ethyl (if only grassy weeds present),,20,
Andhra Pradesh,rabi,blackgram,,Pendimethalin,,,Imazethapyr or Quizalofop ethyl (if only grassy weeds present),,20,
Andhra Pradesh,rabi,bengal gram,,Pendimethalin,,,,,,
Tamil Nadu and Puducherry,rabi,Rice,,Butachlor or Anilophos or Pyrazosulfuron ethyl or Pretilachlor or Oxadiazon,,,"2,4-D sodium salt or Bispyribac sodium or 2,4-D + butachlor + bensulfuron methyl",,,
Tamil Nadu and Puducherry,rabi,Rice nursery,,Pyrazosulfuron ethyl or Butachlor or Pendimethalin,20,3,,,,
Tamil Nadu and Puducherry,rabi,Maize,,Atrazine,0.5,3,"2,4-D",1,20,
Tamil Nadu and Puducherry,rabi,Redgram,,Pendimethalin,0.75,3,,,,
Tamil Nadu and Puducherry,rabi,Groundnut,,Pendimethalin,1,,,,,One row of cowpea for every five rows of groundnut where red hairy caterpillar is endemic
Tamil Nadu and Puducherry,rabi,Tomato,,Pendimethalin or Fluchloralin,1,,,,,Hand weeding once at 30 days after planting
Karnataka,rabi,Maize,,Atrazine,1,3,,,,
Karnataka,rabi,Wheat,,Pendimethalin 30 EC,3.25,0,Metsulfuron methyl 20 WDG,20,30,
Karnataka,rabi,Sunflower,,,,,,,,Hand weeding and nipping at 35-40 days after sowing
Karnataka,rabi,Ground nut,,Pendimethalin 30 EC,3.25,,,,,
Karnataka,rabi,Cotton,,,,,,,,Alternative furrow irrigation in drought condition may be adopted
Karnataka,rabi,Onion,,Pendimethalin,0.2,,Oxyfluorfen 23.5% EC 0.2%,,40,One hand weeding at 40-60 DAT
Karnataka,rabi,Sugarcane,,Atrazine,1.6,,"2,4-D",2.5,,
