crop_id,crop_name,category,seasons_supported,water_need,labour_need,risk_level,time_to_first_income_months_min,time_to_first_income_months_max,profit_potential,perishability,storage_need,climate_tags,notes
PU_MOONG,Moong (Green Gram),PULSE,"ZAID,KHARIF",LOW,LOW,MED,2,3,MED,LOW,YES,"short_duration","Fast pulse; good as summer crop; market risk moderate."
PU_URAD,Urad (Black Gram),PULSE,KHARIF,LOW,LOW,MED,2,3,MED,LOW,YES,"short_duration","Good kharif pulse; rainfall dependent."

OS_MUSTARD,Mustard,OILSEED,RABI,LOW,LOW,LOW,3,4,MED,LOW,YES,"cool_season","Good low-water rabi oilseed."
OS_SOYBEAN,Soybean,OILSEED,KHARIF,MED,LOW,MED,3,4,MED,LOW,YES,"kharif_oilseed","Rainfall dependent; watch pests/market."
OS_SUNFLOWER,Sunflower,OILSEED,"KHARIF,RABI",MED,LOW,MED,3,4,MED,LOW,YES,"oilseed","Moderate water; good diversification."
OS_SESAME,Sesame (Til),OILSEED,KHARIF,LOW,LOW,MED,3,4,MED,LOW,YES,"drought_tolerant","Good low-water oilseed; price variation risk."
OS_GROUNDNUT,Groundnut,OILSEED,KHARIF,MED,MED,MED,3,4,HIGH,LOW,YES,"warm_season","Good cash crop; needs timely harvest + pest watch."

VE_POTATO,Potato,VEGETABLE,RABI,MED,HIGH,MED,3,4,HIGH,MED,YES,"cool_season","High value; labour + storage sensitive."
VE_ONION,Onion,VEGETABLE,"RABI,KHARIF",MED,HIGH,HIGH,4,5,HIGH,LOW,YES,"market_volatile","High volatility; storage helps."
VE_TOMATO,Tomato,VEGETABLE,"KHARIF,RABI",MED,HIGH,HIGH,2,3,HIGH,HIGH,NO,"disease_sensitive","Very perishable; needs strong market access."
VE_OKRA,Okra (Bhindi),VEGETABLE,"KHARIF,ZAID",MED,MED,MED,2,3,MED,HIGH,NO,"warm_season","Regular picking; moderate labour."
VE_BRINJAL,Brinjal (Eggplant),VEGETABLE,"KHARIF,RABI",MED,HIGH,HIGH,3,4,HIGH,HIGH,NO,"pest_sensitive","High pest pressure; needs IPM; strong market access required."
VE_CABBAGE,Cabbage,VEGETABLE,RABI,MED,HIGH,MED,3,4,MED,HIGH,NO,"cool_season","Perishable; needs timely harvest + sales."
VE_CAULIFLOWER,Cauliflower,VEGETABLE,RABI,MED,HIGH,MED,3,4,MED,HIGH,NO,"cool_season","Perishable; timing sensitive."
VE_CARROT,Carrot,VEGETABLE,RABI,MED,MED,MED,3,4,MED,MED,YES,"cool_season","Moderate labour; storage possible."
VE_RADISH,Radish,VEGETABLE,"RABI,ZAID",LOW,MED,LOW,1,2,MED,HIGH,NO,"short_duration","Very short duration; good quick cash crop."
VE_SPINACH,Spinach (Palak),VEGETABLE,"RABI,ZAID",MED,MED,MED,1,2,MED,HIGH,NO,"leafy_greens","Frequent harvest; high perishability."
VE_CORIANDER_LEAF,Coriander (Leaf),VEGETABLE,"RABI,ZAID",MED,MED,MED,1,2,MED,HIGH,NO,"leafy_herb","Quick turnover; needs nearby market."
VE_CUCUMBER_OPEN,Cucumber (Open-field),VEGETABLE,"ZAID,KHARIF",MED,MED,HIGH,2,3,HIGH,MED,NO,"summer","Market timing sensitive; disease risk."
VE_BITTER_GOURD,Bitter Gourd,VEGETABLE,"ZAID,KHARIF",MED,MED,HIGH,2,3,HIGH,MED,NO,"trellis","Needs trellis; good returns but disease risk."
VE_BOTTLE_GOURD,Bottle Gourd,VEGETABLE,"ZAID,KHARIF",MED,MED,MED,2,3,MED,MED,NO,"trellis","Moderate risk; needs market access."
VE_PUMPKIN,Pumpkin,VEGETABLE,"KHARIF,ZAID",LOW,LOW,MED,3,4,MED,LOW,YES,"hardy","Lower labour; better shelf life than many vegetables."
VE_WATERMELON,Watermelon,VEGETABLE,ZAID,MED,MED,HIGH,2,3,HIGH,MED,NO,"summer","Good returns in season; price volatility + disease risk."
VE_MUSKMELON,Muskmelon,VEGETABLE,ZAID,MED,MED,HIGH,2,3,HIGH,MED,NO,"summer","High value in season; market timing critical."
VE_FRENCH_BEAN,French Bean,VEGETABLE,"RABI,ZAID",MED,MED,MED,2,3,MED,HIGH,NO,"cool_season","Sensitive to weather; perishable; needs market."
VE_GREEN_PEA,Green Pea (Vegetable),VEGETABLE,RABI,MED,MED,MED,3,4,HIGH,HIGH,NO,"cool_season","High demand; perishable; timely harvest important."

SP_TURMERIC,Turmeric,SPICE,RABI,MED,MED,MED,7,9,HIGH,LOW,YES,"long_duration","Good value; long duration; needs curing/drying."
SP_GINGER,Ginger,SPICE,KHARIF,MED,HIGH,HIGH,7,9,HIGH,MED,YES,"disease_sensitive","High value but disease risk; seed cost high."
SP_GARLIC,Garlic,SPICE,RABI,LOW,HIGH,MED,5,6,HIGH,LOW,YES,"cool_season","Labour intensive; good storability."
SP_CUMIN,Cumin,SPICE,RABI,LOW,MED,HIGH,4,5,HIGH,LOW,YES,"dry_climate","Sensitive to weather/disease; higher risk."
SP_CORIANDER_SEED,Coriander (Seed),SPICE,RABI,LOW,LOW,MED,3,4,MED,LOW,YES,"cool_season","Seed spice crop; moderate market risk."
SP_CHILLI,Chilli,SPICE,"KHARIF,RABI",MED,HIGH,HIGH,5,6,HIGH,MED,YES,"pest_sensitive","High value but high pest/disease risk."
SP_FENUGREEK, Fenugreek (Methi),SPICE,RABI,LOW,LOW,LOW,2,3,MED,LOW,YES,"cool_season","Short duration; low water; both leaf and seed use."
SP_FENNEL,Fennel (Saunf),SPICE,RABI,LOW,LOW,MED,4,5,HIGH,LOW,YES,"dry_climate","Good price potential; needs dry weather at maturity."
SP_AJWAIN,Ajwain (Carom),SPICE,RABI,LOW,LOW,MED,4,5,HIGH,LOW,YES,"dry_climate","Niche spice; price can be strong; regional suitability."

CM_SUGARCANE,Sugarcane,COMMERCIAL,YEAR_ROUND,HIGH,HIGH,MED,10,14,HIGH,LOW,YES,"water_intensive,long_duration","High water + long duration; needs assured market."
CM_COTTON,Cotton,COMMERCIAL,KHARIF,MED,MED,HIGH,5,6,HIGH,LOW,YES,"pest_sensitive,price_volatile","Pest + price risk; good only for higher risk tolerance."
CM_POTATO_SEED,Potato (Seed),COMMERCIAL,RABI,MED,HIGH,HIGH,3,4,HIGH,MED,YES,"cool_season","Higher profit potential but quality/market risk."
CM_JUTE,Jute,COMMERCIAL,KHARIF,HIGH,MED,MED,4,5,MED,LOW,YES,"humid","Region-specific; requires humid climate and local procurement chain."
CM_TEA,Tea,PLANTATION,PERENNIAL,HIGH,HIGH,HIGH,36,60,HIGH,LOW,YES,"humid_hills","Only for suitable hill belts; plantation economics; long horizon."
CM_COFFEE,Coffee,PLANTATION,PERENNIAL,MED,HIGH,HIGH,36,60,HIGH,LOW,YES,"shade,humid_hills","Region-specific; requires shade management; long horizon."

PR_CAPSICUM,Capsicum (Protected),PROTECTED_VEG,YEAR_ROUND,MED,HIGH,MED,3,4,HIGH,HIGH,YES,"protected,high_value","Common polyhouse crop."
PR_CUCUMBER,Cucumber (Protected),PROTECTED_VEG,YEAR_ROUND,MED,HIGH,MED,2,3,HIGH,HIGH,NO,"protected,trellis","Fast harvesting; needs training."
PR_TOMATO,Tomato (Protected),PROTECTED_VEG,YEAR_ROUND,MED,HIGH,MED,3,4,HIGH,HIGH,NO,"protected,high_value","Better quality/season extension; high OPEX."
PR_STRAWBERRY,Strawberry (Protected),PROTECTED_VEG,YEAR_ROUND,MED,HIGH,HIGH,4,6,HIGH,HIGH,YES,"protected,high_value","High value but sensitive; requires strong management."
PR_LETTUCE,Lettuce (Protected),PROTECTED_VEG,YEAR_ROUND,MED,MED,MED,1,2,HIGH,HIGH,NO,"protected,leafy","Fast cycles; needs nearby buyers/cold chain."

FL_MARIGOLD,Marigold,FLOWER,"KHARIF,RABI",LOW,MED,MED,2,3,MED,HIGH,NO,"market_event_driven","Demand spikes around events; local market dependent."
FL_ROSE,Rose (Protected),PROTECTED_FLOWER,YEAR_ROUND,MED,HIGH,HIGH,5,7,HIGH,HIGH,YES,"protected,high_value","High value but market + management risk."
FL_GERBERA,Gerbera (Protected),PROTECTED_FLOWER,YEAR_ROUND,MED,HIGH,HIGH,4,6,HIGH,HIGH,YES,"protected,high_value","Cut flower; needs controlled environment + buyer network."
