scheme_id,scheme_name,state,ministry,practice_tags,crop_tags,category_tags,eligibility_summary,subsidy_pct,max_subsidy_inr,application_url,source_url,last_updated,max_land_acres,farmer_type_tags,gender_bonus_pct,season_window,scheme_type
NAMO_DRONE,Namo Drone Didi,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;RAINFED,ALL,GENERAL;SC;ST;OBC;SHG,Drone rental for fertiliser and pesticide application through Women SHGs. 80% subsidy on drone cost. Rs 15000/month income for SHG members operating drones.,80,800000,https://agricoop.nic.in,https://pib.gov.in,2025-01,,SHG,,,SUBSIDY
PMFME,PM Formalization of Micro Food Processing Enterprises,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;IFS,ALL,GENERAL;SC;ST;OBC,35% credit-linked subsidy on project cost for food processing units (max Rs 10 lakh). One District One Product approach. Covers equipment and working capital.,35,1000000,https://pmfme.mofpi.gov.in,https://pmfme.mofpi.gov.in,2025-01,,ALL,,,SUBSIDY
NBHM,National Bee and Honey Mission,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;ORCHARD_INTERCROP;IFS,FRUIT_ORCHARD;OILSEED;SPICE,GENERAL;SC;ST;OBC,50% subsidy on bee colonies equipment and honey processing. Increases crop pollination by 30-40%. Rs 500 per colony support. Ideal alongside orchard crops.,50,500000,https://nbb.gov.in,https://nbb.gov.in,2025-01,,ALL,,,SUBSIDY
NBM,National Bamboo Mission,ALL,Agriculture,OPEN_FIELD;RAINFED;ORCHARD,PLANTATION,GENERAL;SC;ST;OBC,50% subsidy on bamboo plantation (Rs 120/plant over 3 years). Covers nursery development and post-harvest infrastructure. NE states get 90:10 funding.,50,120000,https://nbm.nic.in,https://nbm.nic.in,2025-01,,ALL,,,SUBSIDY
PMMSY,PM Matsya Sampada Yojana,ALL,Fisheries,IFS;AQUACULTURE,ALL,GENERAL;SC;ST;OBC,40% subsidy for general and 60% for SC/ST/women on aquaculture infrastructure. Covers pond construction hatcheries feed mills and cold chain. Rs 20050 crore outlay.,40,2500000,https://pmmsy.dof.gov.in,https://pmmsy.dof.gov.in,2025-01,,ALL,20,,SUBSIDY
MGNREGA_AGRI,MGNREGA Agriculture Convergence,ALL,Rural Development,OPEN_FIELD;RAINFED;DRIP_INTENSIVE;IFS,ALL,GENERAL;SC;ST;OBC,Farm ponds land leveling vermicompost pits and plantation under MGNREGA. 100 days guaranteed wage employment. Convergence with agriculture department for asset creation.,100,0,https://nrega.nic.in,https://nrega.nic.in,2025-01,,ALL,,,INCOME_SUPPORT
GOBAR_DHAN,GOBARdhan Scheme,ALL,Agriculture,IFS;OPEN_FIELD;RAINFED,ALL,GENERAL;SC;ST;OBC,50% subsidy on biogas/bio-CNG plants using cattle dung and crop residue. Converts waste to energy and organic manure. Linked with Swachh Bharat Mission.,50,500000,https://sbm.gov.in/gbdw25,https://sbm.gov.in/gbdw25,2025-01,,ALL,,,SUBSIDY
RKVY_RAFTAAR,RKVY-RAFTAAR Agri-Entrepreneurship,ALL,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;IFS,ALL,GENERAL;SC;ST;OBC,Agri-startup incubation with up to Rs 25 lakh funding. Innovation grants and mentorship. Accelerator program for agri-tech startups. Apply through state RKVY cells.,0,2500000,https://rkvy.nic.in,https://rkvy.nic.in,2025-01,,ALL,,,INFRASTRUCTURE
MH_NKSY,Nanaji Deshmukh Krishi Sanjivani Yojana,Maharashtra,Agriculture,RAINFED;OPEN_FIELD;DRIP_INTENSIVE;DRIP_MULCH,ALL,GENERAL;SC;ST;OBC,Climate-resilient agriculture for rainfed areas in Maharashtra. 75% subsidy on farm ponds micro-irrigation soil health and crop diversification. World Bank funded.,75,300000,https://mahapocra.gov.in,https://mahapocra.gov.in,2025-01,,ALL,,,SUBSIDY
MH_TRACTOR,Maharashtra Mini Tractor Subsidy,Maharashtra,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;RAINFED,ALL,SC;ST,90% subsidy on mini tractors for SC/ST farmers in Maharashtra. Maximum subsidy Rs 2 lakh. Through MahaDBT portal.,90,200000,https://mahadbt.maharashtra.gov.in,https://mahadbt.maharashtra.gov.in,2025-01,5.0,SMALL;MARGINAL,,,SUBSIDY
MH_INTEREST,Dr Punjabrao Deshmukh Interest Subsidy,Maharashtra,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;RAINFED,ALL,GENERAL;SC;ST;OBC,Interest-free crop loans for farmers in Maharashtra. State pays interest component on crop loans up to Rs 3 lakh. Through cooperative and commercial banks.,0,50000,https://mahadbt.maharashtra.gov.in,https://mahadbt.maharashtra.gov.in,2025-01,,ALL,,,CREDIT
MH_FARM_POND,Magel Tyala Shet Tale,Maharashtra,Agriculture,RAINFED;OPEN_FIELD;DRIP_INTENSIVE,ALL,GENERAL;SC;ST;OBC,50% subsidy on farm pond construction in Maharashtra. Individual farm ponds for water harvesting. Maximum subsidy Rs 75000. Linked with MGNREGA convergence.,50,75000,https://mahadbt.maharashtra.gov.in,https://mahadbt.maharashtra.gov.in,2025-01,,ALL,,,SUBSIDY
KA_BHAGYA,Krishi Bhagya Scheme,Karnataka,Agriculture,RAINFED;OPEN_FIELD;DRIP_INTENSIVE;DRIP_MULCH,ALL,GENERAL;SC;ST;OBC,Farm pond with plastic lining plus drip irrigation plus shade net for rainfed farmers. 80% subsidy for small/marginal (90% SC/ST). Package approach for water security.,80,200000,https://raitamitra.karnataka.gov.in,https://raitamitra.karnataka.gov.in,2025-01,,SMALL;MARGINAL,10,,SUBSIDY
KA_RAITHA_SIRI,Raitha Siri Organic Farming,Karnataka,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;RAINFED;IFS,ALL,GENERAL;SC;ST;OBC,Organic farming cluster support in Karnataka. Rs 6200/acre for 3 years covering inputs certification and market linkage. Minimum 50 farmers per cluster.,0,6200,https://raitamitra.karnataka.gov.in,https://raitamitra.karnataka.gov.in,2025-01,,ALL,,,SUBSIDY
KA_EQUIPMENT,Karnataka Farm Equipment Subsidy,Karnataka,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;RAINFED,ALL,GENERAL;SC;ST;OBC,50% subsidy on farm equipment (power tillers rotavators sprayers) in Karnataka. Higher subsidy for SC/ST and women. Through Raita Mitra portal.,50,0,https://raitamitra.karnataka.gov.in,https://raitamitra.karnataka.gov.in,2025-01,,ALL,10,,SUBSIDY
TN_SOLAR,CM Solar Pump Scheme,Tamil Nadu,Agriculture;MNRE,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD;DRIP_INTENSIVE,ALL,GENERAL;SC;ST;OBC,Free solar-powered pumpsets under Chief Minister scheme for Tamil Nadu farmers. 1000 beneficiaries per year. Priority to small and marginal farmers in drought-prone areas.,100,0,https://agri.tn.gov.in,https://agri.tn.gov.in,2025-01,5.0,SMALL;MARGINAL,,,SUBSIDY
TN_MICRO_IRR,Tamil Nadu Micro-Irrigation Subsidy,Tamil Nadu,Agriculture,DRIP_INTENSIVE;DRIP_MULCH,ALL,GENERAL;SC;ST;OBC,100% subsidy for small and marginal farmers and 75% for others on drip and sprinkler systems in Tamil Nadu. Highest micro-irrigation subsidy in India.,100,0,https://agri.tn.gov.in,https://agri.tn.gov.in,2025-01,5.0,SMALL;MARGINAL,,,SUBSIDY
TN_HORTI,Tamil Nadu Horticulture Plant Subsidy,Tamil Nadu,Agriculture,OPEN_FIELD_VEG;ORCHARD,FRUIT_ORCHARD;VEGETABLE;FRUIT_FIELD,GENERAL;SC;ST;OBC,75% subsidy on fruit and vegetable planting material. Lemon and guava plants for 9 lakh families. Vegetable seed sets for 15 lakh families.,75,0,https://tnhorticulture.tn.gov.in,https://tnhorticulture.tn.gov.in,2025-01,,ALL,,,SUBSIDY
PB_CDP,Crop Diversification Programme Punjab,Punjab,Agriculture,OPEN_FIELD;RAINFED,CEREAL;PULSE;OILSEED;COMMERCIAL,GENERAL;SC;ST;OBC,Rs 7000/acre incentive for shifting from paddy to maize cotton and pulses in Punjab. Addresses groundwater depletion. Through state agriculture department.,0,7000,https://agri.punjab.gov.in,https://agri.punjab.gov.in,2025-01,,ALL,,KHARIF,SUBSIDY
PB_DSR,Direct Seeded Rice Incentive Punjab,Punjab,Agriculture,OPEN_FIELD,CEREAL,GENERAL;SC;ST;OBC,Rs 1500/acre incentive for adopting Direct Seeded Rice (DSR) instead of transplanting in Punjab. Saves 15-20% water and reduces labour cost.,0,1500,https://agri.punjab.gov.in,https://agri.punjab.gov.in,2025-01,,ALL,,KHARIF,SUBSIDY
HR_MERI_FASAL,Meri Fasal Mera Byora,Haryana,Agriculture,OPEN_FIELD;RAINFED,CEREAL;PULSE;OILSEED,GENERAL;SC;ST;OBC,MSP procurement guarantee for registered farmers in Haryana. Single portal for crop registration and government purchase. Transparent weighing and payment.,0,0,https://fasal.haryana.gov.in,https://fasal.haryana.gov.in,2025-01,,ALL,,KHARIF;RABI,MARKET
HR_DSR,Haryana DSR Incentive,Haryana,Agriculture,OPEN_FIELD,CEREAL,GENERAL;SC;ST;OBC,Rs 4000/acre incentive for Direct Seeded Rice in Haryana. Higher than Punjab. Targets water conservation in rice-wheat belt.,0,4000,https://agriharyana.gov.in,https://agriharyana.gov.in,2025-01,,ALL,,KHARIF,SUBSIDY
UP_KISAN_SAHAY,Mukhyamantri Kisan Sahay Yojana,Uttar Pradesh,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG,ALL,GENERAL;SC;ST;OBC,Income support and crop damage compensation for UP farmers. Rs 6000/year plus additional drought/flood compensation. Linked with state disaster relief.,0,6000,https://upagriculture.com,https://upagriculture.com,2025-01,,ALL,,,INCOME_SUPPORT
UP_AGRI_EQUIP,UP Agriculture Equipment Subsidy,Uttar Pradesh,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;RAINFED,ALL,GENERAL;SC;ST;OBC,50% subsidy on farm equipment for UP farmers. Covers pump sets sprayers threshers and mini tractors. Higher subsidy for SC/ST and women.,50,0,https://upagriculture.com,https://upagriculture.com,2025-01,,ALL,10,,SUBSIDY
MP_BHAVANTAR,Bhavantar Bhugtan Yojana,Madhya Pradesh,Agriculture,OPEN_FIELD;RAINFED,PULSE;OILSEED;CEREAL,GENERAL;SC;ST;OBC,Price deficiency payment when market price falls below MSP in MP. Difference deposited directly in farmer bank account. Covers soybean pulses and cereals.,0,0,https://mpeuparjan.nic.in,https://mpeuparjan.nic.in,2025-01,,ALL,,KHARIF;RABI,MARKET
MP_KISAN_KALYAN,Mukhyamantri Kisan Kalyan Yojana,Madhya Pradesh,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Rs 10000/year income support for MP farmers (Rs 4000 state + Rs 6000 PM-KISAN). Two installments of Rs 2000 each from state.,0,4000,https://saara.mp.gov.in,https://saara.mp.gov.in,2025-01,,ALL,,,INCOME_SUPPORT
RJ_KRISHAK_SATHI,Mukhyamantri Krishak Sathi Yojana,Rajasthan,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Accident insurance for Rajasthan farmers. Rs 5 lakh for death and Rs 50000 to 2 lakh for injury during agricultural activities. Free coverage.,0,500000,https://rajkisan.rajasthan.gov.in,https://rajkisan.rajasthan.gov.in,2025-01,,ALL,,,INSURANCE
RJ_FREE_ELEC,Free Electricity for Agriculture Rajasthan,Rajasthan,Agriculture,OPEN_FIELD;DRIP_INTENSIVE;ORCHARD;RAINFED,ALL,GENERAL;SC;ST;OBC,Zero electricity bill for agricultural pump connections up to 7.5 HP in Rajasthan. Saves Rs 15000-30000/year for average farmer.,0,0,https://energy.rajasthan.gov.in,https://energy.rajasthan.gov.in,2025-01,,ALL,,,INCOME_SUPPORT
AP_RYTHU_BHAROSA,YSR Rythu Bharosa,Andhra Pradesh,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Rs 13500/year investment support for AP farmers (Rs 7500 state + Rs 6000 PM-KISAN). Covers input costs for kharif and rabi. Highest combined support in India.,0,7500,https://ysrrythubharosa.ap.gov.in,https://ysrrythubharosa.ap.gov.in,2025-01,,ALL,,,INCOME_SUPPORT
AP_SUNNA_VADDI,AP Zero Interest Crop Loans,Andhra Pradesh,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Zero interest crop loans for AP farmers. State reimburses full interest on loans up to Rs 3 lakh. Through cooperative and commercial banks.,0,300000,https://www.apagrisnet.gov.in,https://www.apagrisnet.gov.in,2025-01,,ALL,,,CREDIT
TS_RYTHU_BANDHU,Rythu Bandhu Investment Support,Telangana,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Rs 10000/acre/year investment support for Telangana farmers. Two seasons — Rs 5000 each in kharif and rabi. Unconditional — no restriction on crop or input use.,0,10000,https://treasury.telangana.gov.in,https://treasury.telangana.gov.in,2025-01,,ALL,,KHARIF;RABI,INCOME_SUPPORT
TS_RYTHU_BIMA,Rythu Bima Farmer Insurance,Telangana,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Free life insurance of Rs 5 lakh for Telangana farmers aged 18-59. State pays full premium. Covers natural and accidental death. Nominee gets Rs 5 lakh.,0,500000,https://treasury.telangana.gov.in,https://treasury.telangana.gov.in,2025-01,,ALL,,,INSURANCE
GJ_KISAN_PARIVAHAN,Kisan Parivahan Yojana Gujarat,Gujarat,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Transport subsidy for agricultural produce in Gujarat. Rs 3/km per quintal for transporting produce to mandis and processing centres. Reduces post-harvest losses.,0,0,https://ikhedut.gujarat.gov.in,https://ikhedut.gujarat.gov.in,2025-01,,ALL,,,MARKET
GJ_SURYA_SHAKTI,Suryashakti Kisan Yojana Gujarat,Gujarat,Agriculture;MNRE,DRIP_INTENSIVE;OPEN_FIELD;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Solar pump installation with option to sell surplus power to DISCOM at Rs 3.5/unit for 25 years. 60% subsidy on solar pump. Dual income from farming and solar.,60,0,https://ikhedut.gujarat.gov.in,https://ikhedut.gujarat.gov.in,2025-01,,ALL,,,SUBSIDY
WB_KRISHAK_BANDHU,Krishak Bandhu,West Bengal,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Rs 10000/year for farmers with 1+ acre in West Bengal. Two installments in kharif and rabi. Plus Rs 2 lakh life insurance coverage for farmer death.,0,10000,https://krishakbandhu.net,https://krishakbandhu.net,2025-01,2.5,ALL,,KHARIF;RABI,INCOME_SUPPORT
OD_KALIA,KALIA Scheme Odisha,Odisha,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG;ORCHARD,ALL,GENERAL;SC;ST;OBC,Rs 12500/year for small and marginal farmers in Odisha. Rs 10000 each for landless agricultural households. Plus life insurance of Rs 2 lakh. Direct benefit transfer.,0,12500,https://kalia.odisha.gov.in,https://kalia.odisha.gov.in,2025-01,5.0,SMALL;MARGINAL,,,INCOME_SUPPORT
BR_DIESEL,Bihar Diesel Subsidy,Bihar,Agriculture,OPEN_FIELD;RAINFED;OPEN_FIELD_VEG,CEREAL;PULSE;OILSEED;VEGETABLE,GENERAL;SC;ST;OBC,Rs 500/acre diesel subsidy for irrigation in Bihar. Maximum 8 acres per farmer. Covers kharif and rabi seasons. Through DBT to bank account.,0,4000,https://dbtagriculture.bihar.gov.in,https://dbtagriculture.bihar.gov.in,2025-01,8.0,ALL,,KHARIF;RABI,SUBSIDY
KL_SUBHIKSHA,Subhiksha Keralam,Kerala,Agriculture,OPEN_FIELD;OPEN_FIELD_VEG;RAINFED;ORCHARD,ALL,GENERAL;SC;ST;OBC,Food self-sufficiency mission promoting fallow land cultivation in Kerala. Subsidized seeds inputs and technical support. Special focus on rice vegetable and tuber cultivation.,0,0,https://keralaagriculture.gov.in,https://keralaagriculture.gov.in,2025-01,,ALL,,,SUBSIDY
