practice_code,component,cost_type,min_inr_per_acre,max_inr_per_acre,notes
POLYHOUSE,Plant Protection & Sanitation,OPEX,6000,25000,Sticky traps, IPM, disinfectants.
POLYHOUSE,Labour (Skilled),OPEX,12000,40000,Training, pruning, trellising, harvest.
POLYHOUSE,Electricity/Utilities,OPEX,2000,12000,Fans/pumps/lights if used; varies by setup.
POLYHOUSE,Repairs & Plastic Replacement Reserve,OPEX,2000,12000,Film/net replacement cycle provisioning.

HYDROPONICS,Structure (Polyhouse/Shade + Benching),CAPEX,120000,350000,Base protected structure + benches.
HYDROPONICS,Channels/Racks (NFT/DWC),CAPEX,60000,180000,Core hydro hardware per acre equivalent.
HYDROPONICS,Nutrient Tanks + Pumps,CAPEX,25000,90000,Recirculation system.
HYDROPONICS,Filtration + Sterilization,CAPEX,12000,60000,Filters/UV optional; improves hygiene.
HYDROPONICS,Sensors (pH/EC) & Monitoring,CAPEX,6000,30000,Manual meters to semi-automated monitoring.
HYDROPONICS,Seedlings/Planting Material,OPEX,10000,25000,Per cycle; frequent replanting for leafy greens.
HYDROPONICS,Nutrients,OPEX,18000,50000,Per cycle; solution management is critical.
HYDROPONICS,Labour (Technical),OPEX,15000,50000,Monitoring + harvesting + sanitation.
HYDROPONICS,Electricity,OPEX,6000,25000,Pumps + cooling/ventilation depending on climate.
HYDROPONICS,Consumables & Sanitation,OPEX,3000,15000,Cleaning agents, filters, replacement parts.

ORCHARD,Saplings/Planting Material,CAPEX,15000,45000,Density dependent; high-density costs more.
ORCHARD,Pit Digging & Planting,CAPEX,10000,25000,Pits, FYM, basal dose, labour.
ORCHARD,Drip Irrigation (Recommended),CAPEX,10000,25000,Tree drip; improves survival and yields.
ORCHARD,Fencing (Optional),CAPEX,0,40000,Depends on stray animal pressure.
ORCHARD,Intercultural Tools/Pruning Tools,CAPEX,1500,7000,Basic orchard tools.
ORCHARD,Annual Fertilizers & Manure,OPEX,6000,18000,Yearly; increases with tree age.
ORCHARD,Plant Protection (Pests/Diseases),OPEX,4000,15000,Yearly; depends on crop and climate.
ORCHARD,Pruning/Training Labour,OPEX,3000,12000,Yearly; skill dependent.
ORCHARD,Harvesting & Packaging,OPEX,4000,20000,Seasonal; includes crates and grading.

ORCHARD_INTERCROP,Saplings/Planting Material,CAPEX,12000,40000,Primary orchard establishment cost.
ORCHARD_INTERCROP,Pit Digging & Planting,CAPEX,9000,22000,Orchard establishment.
ORCHARD_INTERCROP,Intercrop Seeds/Seedlings,CAPEX,3000,15000,Short duration crops for early cashflow.
ORCHARD_INTERCROP,Drip Irrigation (Recommended),CAPEX,10000,25000,Supports both orchard and intercrop efficiency.
ORCHARD_INTERCROP,Fencing (Optional),CAPEX,0,40000,Highly location dependent.
ORCHARD_INTERCROP,Fertilizers & Manure,OPEX,9000,26000,Combined nutrient needs of orchard + intercrop.
ORCHARD_INTERCROP,Plant Protection,OPEX,6000,22000,Higher due to multiple crops.
ORCHARD_INTERCROP,Labour,OPEX,8000,28000,More operations due to intercrop cycles.
ORCHARD_INTERCROP,Harvest/Marketing,OPEX,5000,22000,Multiple harvests + transport.

AGROFORESTRY,Trees/Saplings,CAPEX,8000,25000,Timber/fruit trees depending on model.
AGROFORESTRY,Soil & Water Conservation,CAPEX,2000,15000,Contour bunding, trenches, mulching.
AGROFORESTRY,Fencing (Optional),CAPEX,0,35000,Depends on grazing/animal pressure.
AGROFORESTRY,Intercrop Seeds (Optional),CAPEX,0,8000,Only if intercrops included early.
AGROFORESTRY,Maintenance Labour,OPEX,3000,12000,Weeding, mulching, pruning.
AGROFORESTRY,Plant Protection (Low),OPEX,1000,6000,Generally lower but depends on species.
AGROFORESTRY,Harvest/Marketing (Long-term),OPEX,0,8000,Often later-stage costs; not annual initially.

INTEGRATED,Basic Farm Infrastructure Setup,CAPEX,15000,60000,Compost pit, sheds, basic water lines; varies by components.
INTEGRATED,Composting/Vermicompost Unit,CAPEX,5000,25000,Organic recycling unit.
INTEGRATED,Farm Pond/Water Harvesting,CAPEX,0,80000,Optional but common; cost depends on excavation/lining.
INTEGRATED,Livestock/Poultry Initial Stock,CAPEX,8000,50000,Depends on type and scale.
INTEGRATED,Feed Storage & Equipment,CAPEX,4000,25000,Feed bins, small tools, crates.
INTEGRATED,Seeds/Planting Material,OPEX,4000,20000,Multiple crops/rotations.
INTEGRATED,Feed & Veterinary,OPEX,12000,60000,Major recurring cost if livestock included.
INTEGRATED,Labour,OPEX,8000,30000,Higher labour due to multiple enterprises.
INTEGRATED,Waste Management & Utilities,OPEX,2000,12000,Cleaning, disposal, minor repairs.

DAIRY_FODDER,Animal Shed & Flooring,CAPEX,20000,80000,Shed construction depends on materials and scale.
DAIRY_FODDER,Milking & Storage Equipment,CAPEX,8000,40000,Milking machine optional; basic cans minimal.
DAIRY_FODDER,Initial Livestock Purchase,CAPEX,30000,120000,Highly variable by breed/age; per acre-equivalent scaling.
DAIRY_FODDER,Fodder Establishment,CAPEX,4000,15000,Fodder seed + land prep.
DAIRY_FODDER,Feed & Supplements,OPEX,30000,120000,Major recurring; depends on herd size.
DAIRY_FODDER,Veterinary & Breeding,OPEX,5000,25000,Health + AI services.
DAIRY_FODDER,Labour,OPEX,15000,60000,Daily operations.
DAIRY_FODDER,Utilities & Transport,OPEX,3000,15000,Water, electricity, milk delivery.

POULTRY_BACKYARD,Poultry Shed Setup,CAPEX,12000,60000,Shed + feeders + drinkers.
POULTRY_BACKYARD,Initial Chicks/Birds,CAPEX,8000,40000,Depends on batch size and breed.
POULTRY_BACKYARD,Biosecurity Setup,CAPEX,1500,8000,Disinfectant stations, nets, sanitation.
POULTRY_BACKYARD,Feed,OPEX,20000,90000,Major recurring cost; depends on batch size.
POULTRY_BACKYARD,Vaccination & Medicines,OPEX,1500,10000,Recurring per batch.
POULTRY_BACKYARD,Bedding/Consumables,OPEX,2000,12000,Litter, cleaning supplies.
POULTRY_BACKYARD,Labour,OPEX,6000,25000,Daily care and cleaning.
POULTRY_BACKYARD,Transport/Marketing,OPEX,1500,12000,Live bird/egg marketing cost.

FISH_POND,Pond Excavation/Lining,CAPEX,40000,200000,Major cost; depends on depth/lining and soil type.
FISH_POND,Water Inlet/Outlet & Pump,CAPEX,8000,50000,Water control + pumping if needed.
FISH_POND,Initial Fingerlings Stock,CAPEX,6000,25000,Stocking material cost.
FISH_POND,Feed,OPEX,25000,120000,Major recurring cost; depends on density and species.
FISH_POND,Lime/Water Treatment,OPEX,4000,25000,Maintains water quality; periodic.
FISH_POND,Labour,OPEX,8000,35000,Feeding, monitoring, harvest.
FISH_POND,Harvesting Gear & Transport,OPEX,2000,15000,Nets, icing, market transport.

NURSERY,Shade Net Structure,CAPEX,25000,80000,Required for most nursery operations.
NURSERY,Trays/Polybags/Media Setup,CAPEX,8000,35000,Trays, cocopeat/media, potting area.
NURSERY,Irrigation Setup,CAPEX,6000,25000,Misters/sprinklers/drip; depends on nursery type.
NURSERY,Seed Stock & Mother Plants,OPEX,8000,40000,Recurring; varies by crop and scale.
NURSERY,Plant Protection,OPEX,4000,18000,Damping-off control, pests; hygiene critical.
NURSERY,Labour,OPEX,12000,45000,Daily monitoring, grading, packing.
NURSERY,Packaging/Transport,OPEX,2000,15000,Delivery to farmers; fragile plants.

MUSHROOM,Shed/Room Setup,CAPEX,10000,60000,Basic shed to semi-controlled room.
MUSHROOM,Racks/Trays/Bags Setup,CAPEX,6000,30000,Racks or bagging setup.
MUSHROOM,Substrate & Spawn (Initial),CAPEX,6000,18000,Straw/compost + spawn for first batch.
MUSHROOM,Temperature/Humidity Control,CAPEX,0,40000,Optional upgrade; fans/foggers/cooling if needed.
MUSHROOM,Spawn & Substrate (Recurring),OPEX,6000,22000,Per cycle inputs.
MUSHROOM,Labour,OPEX,5000,18000,Per cycle; hygiene + harvesting.
MUSHROOM,Packaging/Transport,OPEX,2000,12000,Perishable; requires quick movement.

BEEKEEPING,Bee Boxes & Basic Tools,CAPEX,8000,35000,Boxes, frames, smoker, hive tools.
BEEKEEPING,Colony Purchase,CAPEX,6000,30000,Depends on colony strength and season.
BEEKEEPING,Protective Gear,CAPEX,1500,8000,Suit, gloves, veil.
BEEKEEPING,Honey Extractor (Optional),CAPEX,0,25000,Manual/centrifugal depending on scale.
BEEKEEPING,Feed Supplements,OPEX,1000,8000,During dearth periods; sugar syrup etc.
BEEKEEPING,Maintenance & Medicines,OPEX,800,6000,Mite control, routine upkeep.
BEEKEEPING,Transport/Apiary Shifts,OPEX,0,12000,Migratory beekeeping costs; optional.
