crop_id,low_price_per_unit,base_price_per_unit,high_price_per_unit,price_unit,source_notes
CM_COTTON,5000,6620,8000,INR_per_quintal,MSP Rs 6620 for medium staple; lint basis
PR_CAPSICUM,2000,4000,7000,INR_per_quintal,Polyhouse colored capsicum premium
PR_TOMATO,1000,2500,5000,INR_per_quintal,Protected cultivation premium; off-season
FL_MARIGOLD,2000,4000,8000,INR_per_quintal,Festival season premium (Dussehra/Diwali)
FR_LEMON,1500,3000,6000,INR_per_quintal,Farmgate; seasonal variation; citrus demand steady
FR_ACID_LIME,1500,3000,6000,INR_per_quintal,Farmgate; seasonal pricing; beverage industry demand
FR_DRAGONFRUIT,5000,10000,18000,INR_per_quintal,Premium exotic fruit; urban market premium
FR_AMLA,1000,2000,4000,INR_per_quintal,Processing demand; Chyawanprash and ayurveda industry
FR_BER,1000,2000,4000,INR_per_quintal,Local market; hardy fruit; seasonal
FR_LITCHI,3000,6000,12000,INR_per_quintal,Seasonal premium; highly perishable; export potential
FR_GRAPES,2000,4000,8000,INR_per_quintal,Table/wine variety; export grade commands premium
FR_JAMUN,1500,3000,6000,INR_per_quintal,Seasonal niche; processing and fresh market
FR_COCONUT,800,1500,2500,INR_per_hundred_nuts,Copra/fresh nut price; tender coconut premium higher
FR_APPLE,4000,8000,15000,INR_per_quintal,Hill region premium; Shimla/Kashmir varieties
CE_BARLEY,1500,1735,2200,INR_per_quintal,MSP Rs 1735; beer/malt industry demand
CE_SORGHUM_FODDER,200,400,600,INR_per_quintal,Green fodder; local sale value for dairy integration
PU_PEA_DRY,3000,5600,7000,INR_per_quintal,Dry grain; MSP reference; dal processing demand
OS_SUNFLOWER,4000,6760,8000,INR_per_quintal,MSP Rs 6760; oil extraction demand
OS_SESAME,6000,8635,12000,INR_per_quintal,MSP Rs 8635; export grade til; strong demand
VE_RADISH,400,800,1500,INR_per_quintal,Bulk vegetable; short duration; winter glut possible
VE_CORIANDER_LEAF,1000,2000,4000,INR_per_quintal,Fresh herb; perishable; nearby market essential
VE_CUCUMBER_OPEN,600,1200,2500,INR_per_quintal,Open field; summer premium; seasonal variation
VE_BITTER_GOURD,1000,2000,4000,INR_per_quintal,Medicinal value; moderate but steady demand
VE_BOTTLE_GOURD,500,1000,2000,INR_per_quintal,Bulk vegetable; widespread consumption
VE_PUMPKIN,400,800,1500,INR_per_quintal,Hardy; storage possible; processing demand growing
VE_WATERMELON,500,1000,2500,INR_per_quintal,Summer premium; transport cost significant
VE_MUSKMELON,800,1500,3000,INR_per_quintal,Summer premium; perishable; timing matters
VE_FRENCH_BEAN,1500,3000,5000,INR_per_quintal,Fresh market; perishable; export demand for frozen
VE_GREEN_PEA,2000,4000,7000,INR_per_quintal,Fresh green pea premium; rabi season; cold storage helps
SP_CORIANDER_SEED,5000,8000,13000,INR_per_quintal,Spice market; Rajasthan/Gujarat main markets
SP_FENUGREEK,4000,7000,12000,INR_per_quintal,Methi seed + leaf dual value; spice demand
SP_FENNEL,8000,14000,22000,INR_per_quintal,Saunf; Gujarat/Rajasthan market; strong export
SP_AJWAIN,10000,18000,28000,INR_per_quintal,Niche spice; strong domestic price; medicinal use
CM_POTATO_SEED,800,1500,2500,INR_per_quintal,Premium over table potato; quality certification needed
CM_JUTE,3500,5050,6500,INR_per_quintal,MSP Rs 5050; raw jute; government procurement
CM_TEA,15000,25000,40000,INR_per_quintal,Auction price; CTC/orthodox; estate vs smallholder
CM_COFFEE,20000,35000,50000,INR_per_quintal,Clean coffee; arabica premium; export linked
PR_CUCUMBER,1500,3000,5000,INR_per_quintal,Protected premium; off-season supply advantage
PR_STRAWBERRY,10000,18000,30000,INR_per_quintal,High premium; perishable; urban retail market
PR_LETTUCE,3000,6000,10000,INR_per_quintal,Premium leafy; urban/hotel/restaurant market
FL_ROSE,3000,6000,12000,INR_per_quintal,Cut flower stems; seasonal and event-driven premium
FL_GERBERA,4000,8000,15000,INR_per_quintal,Cut flowers; premium market; consistent demand
MU_OYSTER,5000,10000,18000,INR_per_quintal,Fresh mushroom farmgate; urban market premium
