state,season,crop_name,sub_region,pest_or_disease_name,type,monitor_start_month,monitor_end_month,chemical_control,bio_control,threshold_note
Assam,kharif,blackgram,,yellow mosaic virus,disease,,,thiamethoxam 25 WG @ 0.3 g/l to control white fly vector,,Spread checked by controlling white fly
Bihar,kharif,Paddy,,Yellow stem borer,pest,,,"Cartap Hydrochloride @ 2.0 g/L water twice, 20 days apart",,Clipping terminal shoots before transplanting recommended
Bihar,kharif,Paddy,,Leaf folder,pest,,,"Cartap Hydrochloride @ 2.0 g/L water twice, 20 days apart",,Clipping terminal shoots before transplanting recommended
Bihar,kharif,Paddy nursery and other crops,,Grasshopper,pest,,,Cypermethrin 25% EC @1ml/L or Cypermethrin 10% EC @2.5 ml/L or Deltamethrin 2.8% EC @1.5 ml/L; followed by Neem oil @5ml/L after 2-3 days,,
Bihar,kharif,Maize,,Fall Armyworm,pest,,,Emamectin Benzoate 5 SG at 0.4 g/L after sand application; Thiamethoxam 12.6% + Lambda-Cyhalothrin 9.5% @0.5 ml/L 15 days later,,Apply sand at whorl formation and at 5% damage appearance
Bihar,kharif,Pigeonpea/Arhar,,Wilt (Fusarium spp.),disease,,,,,Use resistant varieties and practice crop rotation
Bihar,kharif,Pigeonpea/Arhar,,Podborer (Helicoverpa armigera),pest,,,Spinosad 45 SC @0.3 ml/L or Emamectin Benzoate 5 SG @0.5 g/L at flowering and pod formation stages,,
Bihar,kharif,Pigeonpea/Arhar,,Sterility Mosaic Virus,disease,,,Remove infected plants; control whitefly using Imidacloprid 17.8 SL @0.5 ml/L,,
Bihar,kharif,Groundnut,Zones IIIA and IIIB,Leaf spot,disease,,,Mancozeb 75 WP @2.5 g/L,,
Bihar,kharif,Groundnut,Zones IIIA and IIIB,Aphids,pest,,,Imidacloprid 17.8 SL @0.3 ml/L,,
Bihar,kharif,Mango,,Mango mealy bug,pest,,,Dimethoate 30 EC @1.0 ml/L or Neem oil @5 ml/L twice at 10-12 days interval followed by two sprays of Planonix @4 ml/10 L water at 10-12 days interval,,To check fruit drop
Bihar,kharif,Mango,,Fruit borer,pest,,,Chlorpyriphos 50% EC + Cypermethrin 5% EC @2.5 ml/L or Lambda-cyhalothrin 5% EC @0.5 ml/L or Indoxacarb 14.5 SC @0.5-1 ml/L,,
Bihar,kharif,Mango,,Fruit fly,pest,,,Deltamethrin 2.8 EC @1 ml/L or Spinosad 45 SC @1 ml/L at 15 days interval; set 10 pheromone traps/ha,,
Bihar,kharif,Mango,,Mango hopper,pest,,,Imidacloprid 17.8 SL @0.5-1 ml/L at 15 days interval,,
Bihar,kharif,Mango and Papaya,,Anthracnose,disease,,,Carbendazim 50% WP @1 g/L spray during flowering and fruit set stage or rainy season if spots appear,,
Bihar,kharif,Papaya,,Mealybug,pest,,,Chlorpyrifos 20% EC @2.5 ml/L on base and crown after rains,,
Bihar,kharif,Guava,,Scale insect,pest,,,Buprofezin 25% SC @1 ml/L spray twice at 15-day interval,,
Chhattisgarh,kharif,Rice,,Sheath blight,disease,,,Hexaconazole @ 1000 ml/ha,,
Chhattisgarh,kharif,Rice,,Bacterial Leaf Blight,disease,,,"Mixture of Validamycin @ 1250 ml, Streptomycin @ 30 g, and Potash @ 37.5 kg/ha",,Do not apply/spray urea during this period
Chhattisgarh,kharif,Rice,,Panicle mite,pest,,,Diafethiuron 50% WP @ 1.2 g/L water + Propiconazole @ 1 ml/L at late tillering,,
Chhattisgarh,kharif,Rice,,Yellow Stem Borer,pest,,,Fipronil 5% SC @ 1000 ml/ha; destroy egg masses; pheromone traps 5 traps/ha,,Remove 'dead hearts'; monitor regularly
Chhattisgarh,kharif,Rice,,Leaf folder and army worm caterpillars,pest,,,Fipronil 5% SC @ 1000 ml/ha when larvae population >1 per leaf,,
Chhattisgarh,kharif,Maize,,Fall Armyworm,pest,5,6,Spinetoram 11.7 SC @ 350 ml/ha or Emamectin Benzoate 5 SG @ 200 g/ha,,"Minimized by crop rotation, dry sowing, and sowing at onset of monsoon"
Chhattisgarh,kharif,Pigeon Pea,,Phytophthora blight,disease,,,Metalaxyl 4% + Mancozeb 64% WP @ 500 g/ha,,Ensure proper drainage
Chhattisgarh,kharif,Pigeon Pea,,Pod borer (Helicoverpa),pest,,,Spray Spinosad 45 SC @ 250 ml/ha,,
Chhattisgarh,kharif,Pigeon Pea,,Aphids/Jassids,pest,,,Spray Imidacloprid 17.8 SL @ 250 ml/ha,,
Chhattisgarh,kharif,Green Gram,,Yellow Mosaic Virus,disease,,,Seed treatment with Imidacloprid 48% FS at 2 ml/kg seed,,
Chhattisgarh,kharif,Soybean,,Whitefly,pest,,,Fenitrothion 50 EC at 2000 ml/ha at 15-day intervals,,
Chhattisgarh,kharif,Soybean,,Leaf hopper,pest,,,Chlorpyrifos 20% EC @ 1500 ml/ha or Dichlorvos 76% EC @ 375 ml/ha or Monocrotophos 36% SL @ 1000 ml/ha,,
Goa,kharif,mango,,Anthracnose,disease,,,Spray Carbendazim @ 2 g/L on seedlings,,
Goa,kharif,mango,,Fruit rot,disease,,,Hot water treatment of fruits at 48°C for 1 hour,,
Goa,kharif,cashew,,Fruit rot,disease,,,Spray 1% Bordeaux mixture,,
Goa,kharif,cashew,,Cashew Stem and Root Borer (CSRB),pest,,,Apply Fipronil or Imidacloprid on trunk/roots,,
Goa,kharif,cashew,,Grubs,pest,,,"Remove grubs, apply Chlorpyrifos or Neem oil/neem cake",,
Gujarat,kharif,Groundnut,South Saurashtra,Collar rot,disease,,,Seed treatment with Fluxapyroxad or Carboxin + Thiram,,
Gujarat,kharif,Groundnut,South Saurashtra,White grub,pest,,,Seed treatment with Chlorpyriphos or Imidacloprid; soil application of Carbofuran,Metarhizium anisopliae soil application,
Gujarat,kharif,Groundnut,South Saurashtra,Sucking pests,pest,,,Seed treatment with Imidacloprid; foliar spray with Thiamethoxam,,
Gujarat,kharif,Groundnut,South Saurashtra,Defoliators,pest,,,"Spray Quinalphos, Chlorpyriphos or Flubendiamide",,
Gujarat,kharif,Groundnut,South Saurashtra,Collar and stem rot,disease,,,Spray Mancozeb or neem extract at ~75 DAS,,
Gujarat,kharif,Soybean,,,,,,,,
Gujarat,kharif,Cotton,,Pink bollworm,pest,6,,Spray Thiodicarb or Quinalphos if ETL crossed,,Monitor from flowering stage
Gujarat,kharif,Cotton,,Jassid,pest,,,Spray Flonicamid or Dinotefuran,,
Gujarat,kharif,Cotton,,Leaf spot,disease,,,"Spray Propiconazole, Pyraclostrobin or Azoxystrobin",,
Gujarat,kharif,Cotton,,Wilt and root rot,disease,,,Seed treatment with Carboxin and Thiram,Beneficial microbes Pseudomonas fluorescens,
Gujarat,kharif,Pigeon Pea,,Sterility mosaic disease,disease,,,"Spray Propargite, Fenazaquin or Fenpyroximate at 10 ml/10 liters",,Mite transmitted
Gujarat,kharif,Pigeon Pea,,Powdery mildew,disease,,,"Spray soluble sulfur 80% WP at 30 g or Carbendazim, Hexaconazole, Dinocap at 10 ml/10 liters",,
Gujarat,kharif,Sesame,,Leaf roller / Capsule borer,pest,,,Spray Neem oil 2% or Spinosad 45 SC at 0.3 ml/liter,,
Gujarat,kharif,Sesame,,Alternaria leaf spot and Phyllody,disease,,,Remove infected plants; spray Mancozeb 0.2%,,
Gujarat,kharif,Paddy,South Gujarat,Stem borer,pest,,,Use Chlorantraniliprole or Fipronil,,
Gujarat,kharif,Paddy,South Gujarat,Leaf folder,pest,,,Use Chlorantraniliprole or Fipronil,,
Gujarat,kharif,Paddy,South Gujarat,Gall midge,pest,,,Use Chlorantraniliprole or Fipronil,,
Gujarat,kharif,Paddy,South Gujarat,Sheath blight and blast,disease,,,Spray Tricyclazole or Validamycin,,
Haryana and Delhi,kharif,Tomato,,Early blight,disease,,,Copper Oxychloride @ 3 g/L or Carbendazim 12% + Mancozeb 63% WP @ 2 g/L,,As symptoms appear
Haryana and Delhi,kharif,Tomato,,Fruit rot,disease,,,Copper Oxychloride @ 3 g/L or Carbendazim 12% + Mancozeb 63% WP @ 2 g/L,,As symptoms appear
Haryana and Delhi,kharif,Tomato,,Fruit borer,pest,,,Spinosad 45 SC @ 3 ml/10 litres water,,
Haryana and Delhi,kharif,Rice,,Rice stem borer and leaf folder,pest,,,"Coragen (Chlorantraniliprole) 18.5 SC @ 150 ml/ha, Fame (Flubendiamide) 480 SC @ 50 ml/ha",,
Haryana and Delhi,kharif,Rice,,Plant hoppers,pest,,,"Ulala (Thiamethoxam) 50 WG @ 150 g/ha, Osheen (Dinotefuran) 20 SG @ 200 g/ha",,
Haryana and Delhi,kharif,Rice,,Bacterial Leaf Blight (BLB),disease,,,Nativo (trifloxystrobin + tebuconazole) 75 WG @ 200 g/ha,,
Haryana and Delhi,kharif,Rice,,Sheath blight,disease,,,Awancer Glow (azoxystrobin 8.3% + mancozeb 66.7%) 75 WG @ 1.5 kg/ha,,
Haryana and Delhi,kharif,Rice,,Blast,disease,,,Amistar Top (azoxystrobin + difenoconazole) 325 SC @ 500 ml/ha,,
Haryana and Delhi,kharif,Arhar,,Shoot fly,pest,,,Seed treatment with Slayer (thiamethoxam) 30 FS @ 10 ml/kg seed,,
Haryana and Delhi,kharif,Arhar,,Grain smut,disease,,,Seed treatment with Sulphur dust @ 4 g/kg seed,,
Haryana and Delhi,kharif,Jowar,,White Grubs,pest,,,"Apply 0.05% quinalphos 25EC on trees after first, second and third rainfall",,
Haryana and Delhi,kharif,Jowar,,Downy Mildew,disease,,,Seed treatment with Metalaxyl 35% @ 6 g/kg seed,,To prevent seed-borne infection
Haryana and Delhi,kharif,Cotton,,Leaf sucking pest & Leaf Curl Virus,pest,,,"Seed treatment with 4 g Thiamethaxom 70 WS/kg seed, spray Thiamethaxom 25 WG @ 0.5g/L water, Profenophos 50 EC @ 1250 ml/ha",Use Neem oil (5 ml/litre) or NSKE 5% every 15 days,Monitor whitefly host plants regularly and remove
Haryana and Delhi,kharif,Cotton,,"Pink, spotted and American bollworm",pest,,,Proclaim (emamectin benzoate) 5 SG @ 250 g/ha,,
Haryana and Delhi,kharif,Cotton,,Sterility mosaic virus,disease,,,Remove infected plants early,Neem oil (5 ml/litre) or NSKE 5% every 15 days,Use resistant varieties
Haryana and Delhi,kharif,Cotton,,Alternaria blight,disease,,,Spray Mancozeb (2.5 g/litre) or Carbendazim (1 g/litre),,Plant on raised beds and use resistant cultivars
Haryana and Delhi,kharif,Cotton,,Phytophthora blight,disease,,,Seed treatment with Metalaxyl (8 g/kg),,"Maintain good drainage, minimize stem injury, use resistant genotypes"
Haryana and Delhi,kharif,Groundnut,,Jassid and white fly,pest,,,Apply malathion 50 EC 1.0 litre/ha or dimethoate 30 EC 625 ml/ha in 625 litres water,,
Himachal Pradesh,kharif,Cluster bean,,Bacterial blight,disease,7,,Two sprays with Streptocycline @ 75g and copper oxychloride @ 500g in 500L water per ha at initiation stage or 55-60 DAS,,
Himachal Pradesh,kharif,Cluster bean,,"Sucking pests (jassids, aphids, whitefly)",pest,7,,Malathion 50 EC @ 0.75-1.25 ml/L water,,
Himachal Pradesh,kharif,Maize,,Cutworm and white grubs,pest,5,6,Chlorpyriphos @ 2.0 litre/ha mixed in sandy soil before sowing or cypermethrin 10EC @ 1 ml/l foliar spray,,
Himachal Pradesh,kharif,Maize,,Fall armyworm,pest,5,6,"Apply flubendamide (Fame), emamectin benzoate, or chlorantraniliprol @ 0.5 ml/L; repeat after 15 days if needed",,If leaves damaged or insect feces seen
Himachal Pradesh,kharif,Paddy,,Stem borer and leaf folder,pest,6,,Carbofuron granules (furadan 3g) @ 33 kg/ha in standing water 10 days after transplanting or spray Chlorpyriphos @ 3 ml/L or Emamectine Benzoate @ 0.5 g/L,,
Himachal Pradesh,kharif,Paddy,,Blast and false smut,disease,7,,Spray Copper Oxychloride @ 3g/L or Hexaconazole @ 1 ml/L at panicle initiation stage,,
Jharkhand,kharif,Paddy,,Chlorosis (iron deficiency),disease,,,Spray 1% ferrous sulphate solution (2.5 kg in 250 liters water) two to three times at weekly intervals,,
Jharkhand,kharif,Paddy,,Weeds,pest,,,Pendimethalin 2.5 litres/ha within 1-2 days of sowing; Bispyribac 250 ml/ha 20-25 days after sowing,,
Jharkhand,kharif,Maize,,Termites,pest,,,Use Methyl Parathion 2% dust 25 kg/ha in soil during land preparation,,
Jharkhand,kharif,Maize,,Early-stage pests,pest,,,Apply 10-15 granules of Fipronil 0.3G or Carbofuran 3G per plant two weeks after germination,,
Jharkhand,kharif,Maize,,Fall Armyworm,pest,,,Spray Emamectin Benzoate 5% SG at 1 g per 3 litres water,,
Jharkhand,kharif,Pulses,,White powdery fungal growth,disease,,,Carbendazim 50% WP @ 1 g/l or Tebuconazole 25% EC @ 1 ml/l water,,Apply at first sign or preventively
Jharkhand,kharif,Chickpea,,"Blight (Alternaria, Cercospora spp.)",disease,,,Mancozeb 75% WP @ 2.5-3 g/l or Copper oxychloride 50% WP @ 2.5-3 g/l,,Apply when symptoms appear
Jharkhand,kharif,Pulses,,Aphids (Aphis craccivora),pest,,,Imidacloprid 17.8% SL @ 0.5 ml/l or Thiamethoxam 25% WG @ 0.3 g/l,,
Jharkhand,kharif,Pulses,,Podborer (Helicoverpa armigera),pest,,,Spray Spinosad 45 SC @ 0.3 ml/l or Emamectin Benzoate 5 SG @ 0.5 g/l at flowering and pod formation,,
Jharkhand,kharif,Groundnut,,Rust (Puccinia arachidis),disease,,,Propiconazole 25% EC at 1 ml/l as foliar spray during early flowering or symptom appearance,,
Jharkhand,kharif,Groundnut,,Bihar hairy caterpillar,pest,,,"Pluck affected leaves and bury; if severe, spray Indoxacarb 15.8 SC at 10 ml/l",,Early stage leaf plucking recommended
Jharkhand,kharif,Groundnut,,Tikka disease or brown spots,disease,,,Spray Dithane M-45 at 1.25 kg/ha,,
Karnataka,kharif,Lac crop (Kusum tree),,Enemy insects (insect infestation),pest,,,Spray Spinosad 2.5% SC 20 ml or Carbendazim 10 g or Hexaconazole 10 ml in 10 L water after 90-95 days of infestation,,Spray from the day of insect infestation
Karnataka,kharif,Okra,,Yellow Vein Mosaic disease,disease,,,Spray Thiamethoxam 25 WG at 100 g/ha,,Remove and destroy affected plants as soon as symptoms appear
Karnataka,kharif,Cucurbits,,Red beetle,pest,,,Apply Chlorpyriphos 2% dust @ 20 kg/ha near root zone,Ash dust with kerosine oil on plants and near root zone,
Karnataka,kharif,Cucurbits,,Fruit fly,pest,,,Spray Malathion 50% EC + Jaggery 5% at 2 ml/l + 50 g jaggery pot spray at fruiting,,
Karnataka,kharif,Cucurbits,,Powdery Mildew,disease,,,Spray Hexaconazole 5% EC @ 1 ml/l at disease onset,,
Karnataka,kharif,Ridge gourd,,Leaf spot,disease,,,Spray Indoil M-45 3.5 ml per 1 L water,,
Karnataka,kharif,Brinjal,,Wilting,disease,,,Spray Streptocycline 1 g + copper oxychloride 30 g in 30 L water on root zone,,
Karnataka,kharif,Tomato,,Wilting,disease,,,Spray Streptocycline 1 g + copper oxychloride 30 g in 30 L water on root zone,,
Karnataka,kharif,Brinjal,,Leaf spot,disease,,,Spray Mancozeb 75% WP @ 2.5 g per litre water,,
Karnataka,kharif,Tomato,,Leaf spot,disease,,,Spray Mancozeb 75% WP @ 2.5 g per litre water,,
Karnataka,kharif,Brinjal,,Fruit and shoot borer,pest,,,Foliar spray Emamectin benzoate 5% SG @ 0.4 g/l or Spinosad 45% SC @ 0.3 ml/l or Coragen 20 SC @ 60 ml in 200 L water/acre every 10-15 days after flowering,,
Karnataka,kharif,Tomato,,Fruit and shoot borer,pest,,,Foliar spray Emamectin benzoate 5% SG @ 0.4 g/l or Spinosad 45% SC @ 0.3 ml/l or Coragen 20 SC @ 60 ml in 200 L water/acre every 10-15 days after flowering,,
Karnataka,kharif,Chilli,,Leaf curl virus (vector: Whitefly),disease,,,Spray Imidacloprid 17.8% SL @ 0.3 ml per litre,,
Karnataka,kharif,Capsicum,,Leaf curl virus (vector: Whitefly),disease,,,Spray Imidacloprid 17.8% SL @ 0.3 ml per litre,,
Karnataka,kharif,Okra,,Tobacco vein mosaic virus (TVMV),disease,,,Spray Imidacloprid 17.8% SL @ 0.3 ml per litre,,
Karnataka,kharif,Various fruits,,Anthracnose / Fruit Rot,disease,,,Spray Carbendazim 50% WP @ 1 g per litre water and repeat after 10 days,,
Karnataka,kharif,Paddy,Karnataka,Blast,disease,,,Spray Saaf 2 g/litre water,,Seed treatment with Carbendazim 50 WP at 2 g/kg seed
Karnataka,kharif,Paddy,Karnataka,Stem borer,pest,,,Spray Coragen 0.5 g/litre water,,
Karnataka,kharif,Maize,Karnataka,Stem borer,pest,,,Spray Chlorpyriphos 20 EC at 2 ml/litre or apply Fipronil 0.3G at 10 kg/acre,,Clip terminal leaf during transplanting
Karnataka,kharif,Maize,Karnataka,Leaf folder,pest,,,Spray Flubendiamide 48 SC at 0.08 ml/litre,,
Karnataka,kharif,Maize,Karnataka,Gall midge,pest,,,Spray Chlorpyriphos,,
Karnataka,kharif,Maize,Karnataka,Brown plant hopper and case worm,pest,,,Soil application of Carbofuran 10% granules at 5 kg or 3G at 8 kg per acre,,
Karnataka,kharif,Maize,Karnataka,Blast,disease,,,Spray Tricyclazole 75 WP at 0.6-1 g/litre or Propiconazole 25 EC at 1 ml/litre; seed treatment with Carbendazim,,
Karnataka,kharif,Maize,Karnataka,Brown leaf spot,disease,,,Spray Carbendazim at 1 g/litre,,
Karnataka,kharif,Maize,Karnataka,Bacterial blight,disease,,,Apply copper oxychloride 50 g + Streptocycline 25 g per acre,,
Karnataka,kharif,Maize,Karnataka,Udubatta disease,disease,,,Seed treatment with Carbendazim 50 WP at 4 g/kg,,
Karnataka,kharif,Maize,Karnataka,Fall army worm,pest,5,7,Seed treatment with Chlorantraniliprole 0.4 ml/kg; spray Emamectin benzoate 5 SG 0.2-0.3 g/l; Chlorantraniliprole 18.5 SC 0.2-0.3 ml/l; pheromone traps 10/ha,Nomuraea rileyi or Beauveria bassiana at 10 g/litre,
Karnataka,kharif,Maize,Karnataka,Aphids,pest,,,Apply Azadirachtin 300 ppm at 5 ml/litre,,
Karnataka,kharif,Maize,Karnataka,Early armyworm attack,pest,,,Spinetoram 11.7% SC at 0.5 ml/litre applied at 15-20 DAS,,
Kerala,kharif,Banana,,Rhizome Weevil,pest,,,Treat rhizomes with 20% Neem Seed Kernel Extract,,
Kerala,kharif,Banana,,Leaf-Eating Caterpillars,pest,,,Apply 2.5 ml Chlorpyriphos per liter of water,,
Kerala,kharif,Banana,,Thrips,pest,,,Use 0.3 ml Imidacloprid or 1.5 ml Dimethoate per liter,,
Kerala,kharif,Banana,,Leaf Spot Disease,disease,,,Spray 1 ml Propiconazole per liter of water,,
Kerala,kharif,Banana,,Nematode infestation,pest,,,,"Apply Pseudomonas 12 g, Pachelomyces 12 g and Neem Cake 500 g combined",
Kerala,kharif,Cashew,,Tea mosquito bug,pest,,,Spray Lambda Cyhalothrin 0.5 ml/liter or Quinolphos 1 ml/liter,,
Kerala,kharif,Cashew,,Leaf Spot,disease,,,Spray COC 50 WP 3 g/liter,,
Kerala,kharif,Cashew,,Stem borers,pest,,,Swab with 2% COC solution and 2 ml Chlorpyriphos 20 EC,,
Kerala,kharif,Arecanut,,Bud rot,disease,,,"Spray 1% Bordeaux mixture, 0.3% Copper Oxychloride, or 0.2% Metalaxyl + Mancozeb 72WP before monsoon and repeat after 30-45 days",,
Kerala,kharif,Arecanut,,Leaf spot,disease,,,,,
Kerala,kharif,Arecanut,,Collar rot,disease,,,,,
Kerala,kharif,Arecanut,,Crown rot,disease,,,,,
Kerala,kharif,Arecanut,,Foot rot,disease,,,,,
Kerala,kharif,Arecanut,,Yellow leaf disease,disease,,,,,
Kerala,kharif,Arecanut,,Spindle bug,pest,,,,,
Kerala,kharif,Arecanut,,Pentatomid bug,pest,,,,,
Kerala,kharif,Arecanut,,Red palm weevil,pest,,,,,
Kerala,kharif,Arecanut,,Mites,pest,,,,,
Kerala,kharif,Arecanut,,Root grubs,pest,,,,,
Kerala,kharif,Arecanut,,Inflorescence caterpillar,pest,,,,,
Kerala,kharif,Arecanut,,Ambrosia beetle,pest,,,,,
Kerala,kharif,Arecanut,,Red mite,pest,,,Spray wettable sulphur (80%) at 0.4%,,
Kerala,kharif,Rice,,Rice stem borer,pest,,,,Release Trichogramma japonicum 2 cc/acre for six weeks starting 1 week after transplanting,
Kerala,kharif,Rice,,Rice leaf folder,pest,,,,Release Trichogramma chilonis 2 cc/acre for six weeks starting 3 weeks after transplanting,
Kerala,kharif,Rice,,Brown plant hopper,pest,,,,,"Avoid close planting, provide alley ways and apply nitrogen in split doses"
Kerala,kharif,Rice,,Bacterial leaf blight,disease,,,Apply bleaching powder 2 kg/acre in small pouches in standing water; streptocyclin 40 g/acre in severe cases,,
Kerala,kharif,Rice,,False smut,disease,,,Spray Propiconazole 25 EC at booting stage prophylactically,,
Ladakh,kharif,Finger Ginger,,Wilt,disease,,,Drench soil with Cheshunt compound or 1% Bordeaux Mixture,,
