state,season,crop_name,sub_region,variety_names,variety_type,duration_type,purpose
Gujarat,kharif,Bajra,,"GHB 905, 1129, 1225, 1231",variety,,
Gujarat,kharif,Pigeon Pea,,"GT-1, GT-100, GT-101, GT-102, GT-103, Vaishali, BDN-2, Anand Grain Tur 2, IPCL-87119",variety,early,
Gujarat,kharif,Pigeon Pea,,"BDN-2, Anand Grain Tur 2, IPCL-87119",variety,late,
Gujarat,kharif,Paddy,South Gujarat,"GNR-3, GR-11, GR-7, IR-28, PRH-10",variety,hybrid,
Gujarat,kharif,Sesame,,"Gujarat Til 1, Gujarat Til 2, Gujarat Til 3",variety,,
Haryana and Delhi,kharif,Tomato,,"GAT-8, Arka Rakshak, other hybrids",hybrid,,
Haryana and Delhi,kharif,Rice,,"HKR-127, HKR-126, HKR-120, HSD-1, Jaya, PR-106, HKR-47, IR-64, HKR 46, HKR 128, Pusa-1509, Pusa-1121, HKR-48, Govind",HYV,medium,
Haryana and Delhi,kharif,Bajra,,"HHB 50, HHB 60, HHB 67, HHB 94, HHB 117, HHB 146, HHB 197, HHB 216, HHB 223, HHB 226, HHB 234, HHB 272, HHB 299, HHB 311, HHB 67 (improved 2), HC 10, HC 20",variety,,
Haryana and Delhi,kharif,Arhar,,"Manak, Paras, Pant Arhar-291, Pant Arhar-16, Rajiv lochan, Pant Arhar-6",variety,,
Haryana and Delhi,kharif,Jowar,,"HC-136, HC-171, HC-308, HG-541, HJ-513; Fodder: SSG 59-3",variety,,Grain and fodder
Haryana and Delhi,kharif,Cotton,,"HS-6, H-1117, H-1126, H-1098 Improved, H-1236, H-1300; Hybrids: HHH-223, HHH-287; Desi varieties: HD-123, HD-324, HD-432; Desi hybrid: AAH-1",variety,,
Haryana and Delhi,kharif,Summer moong,,"MH-4, HNG-69, GJG-19",variety,medium,
Himachal Pradesh,kharif,Cluster bean,,,,,
Himachal Pradesh,kharif,Maize,,"Girija, Bajaura Makka, Bajaura Popcorn, Bajaura sweet corn, PSC-3322 Gold, PSC-4455, SMS-137, K-25 Super, Star-35, Vyas Gold, AHC-2337, HP-333 Gold, Sambha Gold",HYV,,
Himachal Pradesh,kharif,Paddy,,"HPR 1068, HPR 2143, RP 2421, HPR 2720, HPR 2880, Kasturi, HPR 2612, Bhrighu Dhan, Varun Dhan, Naggar Dhan, HPR 2795, Super-120, Star-795, AHR-8213",HYV,short,transplanting and direct seeding
Jharkhand,kharif,Paddy,,"Vandana, Virendra, Abhishek, Swarna Shreya, Anjali, Sahbhagi Dhan, CR Dhaan-320, IR-64, Rajendra Mahsuri, Rajshree, BPT-5204",HYV,short,
Jharkhand,kharif,Maize,,"PMH-3, Orange Flint, HQPM-1, HQPM-5",HYV,,
Jharkhand,kharif,Pigeon pea,,"Narendra Arhar-1, Narendra Arhar-2, Rajeev Lochan, IPA 203, Malviya Arhar-Mal-13",variety,,
Jharkhand,kharif,Black gram,,"WBU-109, Birsa Urd-1, PU-31",variety,,
Jharkhand,kharif,Green gram,,"Virat, Shikha, HUM-12, IPM 2-14, IPM 2-3, HUM-16",variety,,
Jharkhand,kharif,Horse gram,,"Birsa Kulthi-1, Payur-2, Madhu, VLG-19",variety,,
Jharkhand,kharif,Niger,,"Utkal Niger-150, DNS-4, BNS-3, Pooja, JNS-29, JNC-6, BNS-1",variety,,
Jharkhand,kharif,Sesame,,"RT-351, Krishna, Sekhar, RT-346, GT-4, GT-6, Punjab-1, Kanke Safed",variety,,
Jharkhand,kharif,Groundnut,,"K1812, TLG-45, ICGV-00350, K-6, TG-37A, TG-38 Dharni, Grinar-3, TG-51, TCGS-1043, AK12-14, Birsa Mungfali-3, Birsa Mungfali-4, Birsa Bold",variety,,
Jharkhand,kharif,Soybean,,"Birsa Safed Soybean-2, JS-2098",variety,,
Jharkhand,kharif,Sunflower,,DCS-107,variety,,
Jharkhand,kharif,Mango,,"Amrapali, Dussehri, Neelanchal Kesari",variety,,
Karnataka,kharif,Paddy,Karnataka,"MO-4, Abhilasha, Intan, RNR 15048, Tunga, KHP-10, BPT 5204",variety,,
Karnataka,kharif,Paddy,Karnataka,MR-6,variety,,
Karnataka,kharif,Maize,Karnataka,"CP-818, Arjun, Dharma (G.H. 150125), Shrusti (G.H. 0727), private hybrids",hybrid,,
Karnataka,kharif,Sunflower,Karnataka,"KBSH-44, KBSH-53, KBSH-78, KBSH-85, KBSH-90",variety,,
Karnataka,kharif,Tomato,,"Arka Samrat, Arka Rakshak",variety,indeterminate,kharif season staking and raised bed planting
Kerala,kharif,Arecanut,,"Mangala, Mohitnagar, Sumangala, Swarna Mangala, Theerthalli Local, Channagiri Local, South Canara Local",variety,,
Kerala,kharif,Banana,,"Elakki Banana, G9, Nendran, Robusta, Poovan, Grand Naine (G-9), Red Banana",variety,,
Kerala,kharif,Cashew,,"Vengurla-4, Netra Jambu-1, Bhaskar, Ullal-1, Ullal-2, Ullal-3, Chintamani-1, Chintamani-2",variety,,
Kerala,kharif,Rice,,"Harsha, Annapoorna, Aiswarya, Swarnaprabha, Mattathriveni, Vaishak",HYV,short,
Kerala,kharif,Rice,,Local varieties,variety,short,
Kerala,kharif,Coconut,,"Nendran, Robusta, Poovan, Grand Naine (G-9), Red Banana",variety,,
Ladakh,kharif,Wheat,,"HBL-1, Yangnas, Tukzur, Sermotoktok, Tukchumin",variety,,
Ladakh,kharif,Buckwheat,,"HD 3086, HD2967, Tokar, Broo",variety,short,
Ladakh,kharif,Potato,,"Kufri Himalini, Kufri Jyoti, Kufri Chandramukhi, Kufri Karan",variety,,
Ladakh,kharif,Onion,,"Arkel, Bonneville, VL-7, Pusa Pragati, Az-20, PS-1100, Brown Spanish, Red Coral, Liberty, Local White",variety,,
Ladakh,kharif,Pea,,,,,
Ladakh,kharif,Apricot,,"Halmon, Phating, Rakcheykarpo, Tokpopa, Rogan, Satani, Suffaida, Nari",variety,,
Ladakh,kharif,Apple,,"Karkicho, Tha kushu, Skur Khusu, Mar kushu, Nass kushu, Gala, Delicious",variety,,
Ladakh,kharif,Carrot,,"White Icicle, Pusa Himani, Local (Gya Labuk), Nantes Group, Pusa Yamdagini, Kuroda",variety,,
Lakshadweep,kharif,coconut,,,,,
Lakshadweep,kharif,banana,,,,,
Lakshadweep,kharif,vegetables,,,,,
Madhya Pradesh,kharif,Rice,,"Pusa Basmati 1718, PB 1985, PB-1847, PB-1885, PB-1886, Danteswari, JR 206, Pusa Basmati 1121, Pusa Sugandha 5, Mahamaya, MTU-1318, Swarna Sub-1",HYV,,Flood tolerant
Madhya Pradesh,kharif,Maize,,"Vivek Hy-17, Vivek Hy-43, Pusa Vivek QPM-9, VLQPM-45, Hybrid Maize-1, HQPM-1, Vivek Makka Hy-51, Pusa HM-4, DMRH-1308, IMH 230, IMH 231",hybrid,,
Madhya Pradesh,kharif,Green gram,,"IPM 410-3 (Shikha), IPM 205-7 (Virat)",HYV,,
Madhya Pradesh,kharif,Soybean,,"JS 20-69, RVS 2002-4, JS 20-98, JS 20-116, Indore Soya 142, NRC 150, NRC 152, JS 2172, RVSM 2011-35, Indore Soya 130",HYV,,
Madhya Pradesh,kharif,Onion,,"Agrifound Dark Red, Pusa Ridhi, N-53, Bhima Super, Bhima Raj, Bhima Dark Red",HYV,,
Madhya Pradesh,kharif,Garlic,,"G-1, G-41, G-50, G-282",HYV,,
Madhya Pradesh,kharif,Tomato,,"Arka Samrat, grafted tomato",variety,,Wilt resistant
Maharashtra,kharif,Maize,Vidarbha,PDKV Arambha,variety,,
Maharashtra,kharif,Cotton,Vidarbha,"Bt/Hybrid, Deshi improved, AKH-081, PKV DH-1",HYV,,
Maharashtra,kharif,Sugarcane,Vidarbha,"CO-86032, CO-8014, CO-94012, VSI-434, CO-M-0265",variety,medium,
Maharashtra,kharif,Soybean,Vidarbha,"MAUS-162, MAUS-612, PKV Amba, PKV Yellow Gold",variety,,
Manipur,kharif,Paddy,,"RC Maniphou-13, RC Maniphou-14, RC Maniphou-15, RC Maniphou-16",variety,short,disease- and insect-resistant high yield
Manipur,kharif,Maize,,"Vijaya Composite, RCM-75, RCM-76, RC Manichujak-1, All Rounder, Vivek QPM, HQPM-1, HQPM-5",HYV and hybrid,,high grain yield
Manipur,kharif,Finger Millet,,"Konkan Bhuratna, TAG-24",variety,,
Manipur,kharif,Ragi,,"VL Madua 376, VL Madua 379, VL Madua 380",variety,,high yielding
Manipur,kharif,Blackgram,,"PU 31, LBG-20 (Teja)",variety,,PU 31 is YMV tolerant
Manipur,kharif,Groundnut,,"ICGS 76, JL 27",variety,medium,
Manipur,kharif,Tomato,,"Arka Rakshak, Arka Samrat, Arka Abhay",variety,,
Manipur,kharif,Brinjal,,"Pusa Purple Long, Arka Nidhi",variety,,
Manipur,kharif,Okra,,"Arka Anamika, Arka Nikita",variety,,virus resistant
Manipur,kharif,Chilli,,"Arka Khyati, Arka Meghana",variety,,
Meghalaya,kharif,Paddy,,"Megha SA-2, Lungnilaphou, CAU-R1, CR Dhan-310, CR Dhan-311",HYV,,
Meghalaya,kharif,Maize,,"Megha Maize 1, Megha Maize 2, RCM 1-3",HYV,,
Meghalaya,kharif,Finger millet,,"VL 376, VL 379, VL 380",variety,early,
Meghalaya,kharif,Ginger,,Nadia,variety,,
Meghalaya,kharif,Turmeric,,"Megha Turmeric 1, Lakadong",variety,,
Mizoram,kharif,maize,,"RCM-75, RCM-1-1, RCM 1-76, RCM 1-3, Vivek Sankul, Vivek QPM-9, HQPM-1, Mimban, Mimpui",HYV,,
Mizoram,kharif,upland paddy,,"Fazu-MZ UPR 4, Maibasa-MZ UPR 25, Bhadepui-MZ UPR 23, Biroin-MZ UPR 24, Sazukthau-MZ UPR 6, Lalron-MZ 28, Idaw-MZ UPR 11, Buhban-MZ UPR 2, MZ UPR 33, local short duration var. Idaw, tai, Buhsakei",HYV,short,upland/Jhum cultivation
Mizoram,kharif,soybean,,"RCS1-1, RCS1-9, RCS1-10, JS335, MAUS 71",HYV,,
Mizoram,kharif,groundnut,,"ICGS 76, ICGV 86590, Girnar 4, TS 67",HYV,,
Mizoram,kharif,tomato,,"Arka Chandan, Arka Suryamukhi, Pusa Biswas, Solan Lalima, Arka Rakshak, Arka Samrat",HYV,,"High productivity, nutritive value, good storability, transport qualities"
Nagaland,kharif,Paddy,,"Sahsharang, RC Maniphou-14, RC Maniphou-15, RC Maniphou-16",hybrid,,Tolerant or resistant to insect pests and diseases
Nagaland,kharif,Maize,,"Vijaya Composite, Vivek Sankul, RCM-1-1, RCM 1-3, RCM 75, RCM 76, DMRH 1301, All Rounder, Vivek QPM, VLQPM 45, VLQPM 59, HQPM-1, HQPM-5, HQPM-7",HYV,,Short to medium duration (85-110 days); some varieties suitable for re-sowing after hail damage
Nagaland,kharif,Maize,,"HQPM-1, HQPM-5, RCM-76, Vivek 27",HYV,short,Short to medium maturity duration; suitable for re-sowing after hail damage
Nagaland,kharif,Millet,,"Shongtak, Langjai, Buyan, Tansho, Senyak, Anong, Yempang, Shonye, Phuknyak, SiA 3085, SiA 3156",variety,,Local and recommended improved varieties for productivity and adaptability
Nagaland,kharif,Soybean,,"JS-95-60, JS-97-52, JS-2093, RVSM-1135, MACS-1460",variety,,High yielding varieties
Nagaland,kharif,Turmeric,,"Megha turmeric 1, Lakadong",variety,,
Nagaland,kharif,Groundnut,,"ICGS 76, Dharani, KDG-123, Girnar 4",variety,,High yielding varieties
Odisha,kharif,rice,,"Hasanta, CR 1009 sub-1, MTU 1075, CR Dhan 310, DRR 44, CR Dhan 801, CR Dhan 404, Upahar, Swarna, Pooja, Swarna sub-1, BPT 5204, CR Dhan 405, CR Dhan 403, CR Dhan 412, Lunishree, Khandagiri, Vandana, Nabanna, Kolab, CR Dhan 202, Sahbhagi dhan",variety,medium,
Odisha,kharif,green gram,,"Virat, Sikha, IPM 2-14",variety,,
Odisha,kharif,black gram,,"PU 9, Sashi, IPU 2-43",variety,,
Odisha,kharif,arhar,,"LRG 52, BRG 2",variety,,
Odisha,kharif,groundnut,,"Kadiri Lepakshi, Dharani, Smruti",variety,,
Odisha,kharif,sugarcane,,"Sabita, Nilamadhaba, Charchika",variety,medium,
Odisha,kharif,ginger,,"Suprabha, Suruchi, Suravi",variety,,
Odisha,kharif,banana,,"Roma, Rashmi, Lakadong, Rajendra Sonia",variety,,
Punjab,kharif,rice,,"Pusa Basmati 1121, Pusa Basmati 1509, Punjab Basmati 5, Punjab Basmati 7, Pusa Basmati 1718, Pusa Basmati 1847, CSR 30",variety,,
Punjab,kharif,basmati rice,,"PR 132, PR 131, PR 130, PR 129, PR 128, HKR 47, PR 127, PR 126, PR 122, PR 121, PR 114, PR 113",variety,short,water saving and ease in management of paddy straw
Punjab,kharif,maize,,"PMH 17, DKC 9144, Bioseed 9788, PMH 14, PMH 13, ADV 9293, JC 12, PMH 11, PMH 1, JC 4, PMH 2",variety,,JC 12 & JC 4 recommended for kandi areas
Rajasthan,kharif,bajra,,"Raj-171 (composite), RHB-154, RHB-177, RHB-223, RHB-233, RHB-234, MPMH-17, MPMH-21, MPMH-35, MPMH-42, HHB-67, HHB-299, PC-701, Dhanshakti, ICMH-356, GHB-905, RHB-90, RHB-121, RHB-127, RHB-173, CZP-9802, MBC-2, GHB-538, GHB-719, GHB-744, GHB-732, HHB-197",hybrid,,Tolerance to downy mildew and bird resistance
Rajasthan,kharif,maize,,"Pratap QPM Hybrid Maize-1, HQPM Hybrid-1, HQPM Hybrid-5, Bio-9682, Bio-9544, Pratap Raj Hybrid Maize-1095, Mahi Dhawal, DHM 117, Pratap Hybrid Maize-3, Pratap Maize-9, PEHM-2, Pratap Hybrid-1, DHM-121, IQMH-203, IMHB-1532, DMRHP-1402, LPCH-2, LPCH-3, GM-6, Mahi Kanchan, Madhuri, Pratap Kanchan, Pratap Maize Hybrid-6",hybrid,,
Sikkim,kharif,maize,,"Pahenlo makkai, CP-333","variety, hybrid",,
Sikkim,kharif,rice,,"Sikkim Dhan 1, CAU-R1, Abhishek, Attey",variety,medium,
Sikkim,kharif,spice crops (mandua),,"VL Mandua 352, VL Mandua 379, VL Mandua 347",variety,,
Sikkim,kharif,poultry,,"broilers, Vanaraja",,,
Sikkim,kharif,pig,,HDK-75,,,
Tamil Nadu and Puducherry,kharif,Coconut,,"Suraksha, CO-17, VPT-2",variety,,high density planting
Tamil Nadu and Puducherry,kharif,Cotton,,Bt Cotton,HYV,,intercropping with cluster bean
Tamil Nadu and Puducherry,kharif,Paddy,,,,,general kharif cultivation
Tamil Nadu and Puducherry,kharif,Blackgram,,,,,improved yield with plant probiotics
Tamil Nadu and Puducherry,kharif,Greengram,,,,,improved yield under drip irrigation
Tamil Nadu and Puducherry,kharif,Redgram,,,,,improved yield under drip irrigation
Telangana,kharif,Paddy,,"BPT-5204, WGL-44, RNR 11718",variety,long,
Telangana,kharif,Paddy,,"WGL-14, JGL-11470, JGL-384, RNR-28361, JGL-33124",variety,medium,
Telangana,kharif,Paddy,,"RNR-15048, KNM-1638, KPS-6251, WGL-362, KNM-118, JGL-24423, RNR-29325, JGL-28639",variety,short,
Telangana,kharif,Maize,,"DHM-206, DHM-182, DHM-117, Bisco-855, Bio-9637, Bisco-740, Kaveri Ekka-2288, Kaveri-2020, Kaveri-3696",hybrid,medium,
Telangana,kharif,Maize,,"DHM-115, Pioneer-3342, KH-5991, DKC-7074",hybrid,short,
Telangana,kharif,Cotton,,"WRGE-93, WRGE-97, WRGE-121",variety,long,wilt-resistant
Telangana,kharif,Cotton,,"WRG-255, TDRG-4, TDRG-59, TDRG-272",variety,medium,
Telangana,kharif,Greengram,,"MGG-295, MGG-385, MGG-351, TM-96-2, WGG-37, WGG-42, Virat, IPM-2-14, Sikha",variety,,
Telangana,kharif,Blackgram,,"MBG-1070, PU-31, GBG-1, TBG-104",variety,,YMV-resistant
Telangana,kharif,Groundnut,,"ASB-22, JS-335, AISb-1, JS-93-05",variety,,
Telangana,kharif,Castor,,"ICH-5, ICH-66, PCH-111, DCH-519, ICH-6, PCS-262",hybrid,,
Tripura,kharif,maize,,"RCM 1-1, RCM 1-2, RCM 1-3, Vijay Composite, DA 61-A, HQPM-1, HQPM-2",HYV,,
Tripura,kharif,paddy,,"CR Dhan 310, CR Dhan 311, Gomati, Swarna Masuri",variety,medium,
Tripura,kharif,paddy,,"Arka Abhed, Arka Samrat, Arka Rakshak",HYV,early,
Tripura,kharif,okra,,"Baazigar-0865 (Sakata), Simba-0895 (Sakata), NS 7774 (Namdhari Seeds), Lavanya (Advanta), Arka Nikita, Arka Abhay",hybrid,,
Tripura,kharif,tomato,,"Baazigar-0865 (Sakata), Simba-0895 (Sakata), NS 7774 (Namdhari Seeds), Lavanya (Advanta), Arka Nikita, Arka Abhay",hybrid,,
Tripura,kharif,ginger & turmeric,,"Varadha, Nadia (ginger), Megha Turmeric 1, Lakadong (turmeric)",variety,,
Uttar Pradesh,kharif,ginger,,"Varadha, Nadia",variety,,
Uttar Pradesh,kharif,turmeric,,"Megha Turmeric 1, Lakadong",variety,,
Uttar Pradesh,kharif,direct seeded rice,,"MTU-7029, Pusa Sugandha 4, Pusa Rice Hybrid 10, NDR-9930111, Sambha Sub-1, NDR-9436",HYV,early to medium,
Uttar Pradesh,kharif,puddled transplanted rice,,"Pusa Sugandh-4, Pusa Sugandh-5, Ballabh Basmati 22, Malviya Sugandh 105, Malviya Sugandh 4, Malviya Basmati 10, Pusa Basmati 1509, CSR 30, Basmati 370, Basmati 386",variety,,Basmati scented rice
Uttar Pradesh,kharif,basmati rice,,"Azad Basmati, Pusa Basmati 1, Pusa Basmati 6, Pusa Basmati 4, Pusa Sugandh-2, Pusa Sugandh-3, Pusa Sugandh-4, Pusa Sugandh-5, Ballabh Basmati 22, Malviya Sugandh 105, Malviya Sugandh 4, Malviya Basmati 1, Pusa Basmati 1509, PRH 10",variety,,Scented basmati rice
Uttar Pradesh,kharif,maize,,"Shaktiman-1, K-41, Azad Uttam, Sharad Mani, Azad Kamal, Chandra Mani, Azad Shankar Makka-1, Azad Shankar Makka-2",hybrid,,
Uttarakhand,kharif,Rice,"Tarai, Bhabhar & Plain","Pant Dhan 10, Pant Dhan 12, Pant Dhan 18, Pant Dhan 19, Pant Dhan 22, Pant Dhan 24, Pant Dhan 26, Pant Dhan 28, Narendra 359, PR 113, PR 114, Pant Sugandha Dhan 15, Pant Sugandha Dhan 17, Pant Sugandha Dhan 25, Pant Sugandha Dhan 27, Pusa Sugandha 4, Pusa Sugandha 5, Pant Basmati 1, Pant Basmati 2, Pusa Basmati 1121, Pusa Basmati 1509, Pusa Basmati 1692, Pusa Basmati 1718, Pusa Basmati 1728, Pusa Basmati 1847, Pusa Basmati 1885, Pusa Basmati 1886, Basmati-370, Taraori",variety,,normal and basmati cultivation
Uttarakhand,kharif,Rice,valley & lower hill,"Govind, Pant Dhan 6, Pant Dhan 10, Pant Dhan 11, Pant Dhan 12, VL Dhan 65, VL Dhan 81, VL Dhan 85, Vivek Dhan 82",variety,,
Uttarakhand,kharif,Rice,mid hills,"Pant Dhan 6, Pant Dhan 10, Pant Dhan 12, VL Dhan 61, VL Dhan 65, VL Dhan 85, Vivek Dhan 62, Vivek Dhan 82",variety,,
